fid,lat,long
881,6.908807,79.890255
882,6.908828,79.890145
883,6.908849,79.890034
884,6.908871,79.889925
885,6.908893,79.889815
886,6.908915,79.889703
887,6.908943,79.889595
888,6.908961,79.889487
889,6.908983,79.889384
890,6.909009,79.889282
891,6.909031,79.889183
892,6.909056,79.889090
893,6.909089,79.889000
894,6.909127,79.888913
895,6.909171,79.888833
896,6.909219,79.888757
897,6.909268,79.888691
898,6.909313,79.888632
899,6.909354,79.888584
900,6.909394,79.888531
901,6.909439,79.888483
902,6.909489,79.888435
903,6.909547,79.888386
904,6.909609,79.888333
906,6.909742,79.888214
907,6.909813,79.888157
908,6.909889,79.888099
909,6.909958,79.888042
910,6.910030,79.887984
911,6.910103,79.887926
912,6.910177,79.887862
913,6.910247,79.887797
914,6.910321,79.887734
915,6.910391,79.887669
916,6.910455,79.887611
917,6.910511,79.887553
918,6.910561,79.887488
919,6.910609,79.887421
920,6.910649,79.887352
921,6.910681,79.887273
922,6.910706,79.887188
923,6.910725,79.887104
924,6.910741,79.887020
925,6.910752,79.886933
926,6.910753,79.886844
927,6.910750,79.886747
928,6.910750,79.886649
929,6.910749,79.886547
930,6.910748,79.886446
931,6.910749,79.886345
932,6.910754,79.886239
933,6.910768,79.886130
934,6.910772,79.886023
935,6.910771,79.885914
936,6.910772,79.885803
937,6.910770,79.885692
938,6.910765,79.885584
939,6.910760,79.885477
940,6.910758,79.885367
941,6.910766,79.885251
942,6.910772,79.885140
943,6.910783,79.885027
944,6.910785,79.884911
945,6.910788,79.884797
946,6.910795,79.884680
947,6.910802,79.884563
948,6.910804,79.884448
949,6.910810,79.884327
950,6.910811,79.884207
951,6.910813,79.884082
952,6.910814,79.883961
953,6.910815,79.883845
954,6.910814,79.883726
955,6.910812,79.883607
956,6.910816,79.883498
957,6.910819,79.883396
958,6.910819,79.883305
959,6.910819,79.883229
960,6.910818,79.883171
961,6.910817,79.883113
962,6.910814,79.883054
963,6.910813,79.882988
964,6.910817,79.882921
965,6.910814,79.882844
966,6.910810,79.882765
967,6.910808,79.882690
968,6.910806,79.882610
969,6.910806,79.882533
970,6.910815,79.882459
971,6.910831,79.882391
972,6.910838,79.882321
973,6.910845,79.882262
974,6.910849,79.882207
975,6.910855,79.882146
976,6.910867,79.882082
977,6.910875,79.882019
978,6.910886,79.881956
979,6.910889,79.881889
980,6.910893,79.881828
981,6.910895,79.881768
982,6.910897,79.881711
983,6.910896,79.881653
984,6.910898,79.881593
985,6.910902,79.881533
986,6.910905,79.881472
987,6.910918,79.881412
988,6.910927,79.881352
989,6.910941,79.881289
990,6.910960,79.881227
991,6.910979,79.881167
992,6.911002,79.881106
993,6.911018,79.881040
994,6.911025,79.880965
995,6.911028,79.880885
996,6.911030,79.880807
997,6.911029,79.880718
998,6.911029,79.880625
999,6.911027,79.880537
1000,6.911024,79.880452
1001,6.911030,79.880367
1002,6.911029,79.880275
1003,6.911032,79.880182
1004,6.911034,79.880090
1005,6.911034,79.879995
1006,6.911037,79.879901
1007,6.911039,79.879803
1008,6.911042,79.879695
1009,6.911050,79.879590
1010,6.911062,79.879486
1011,6.911063,79.879386
1012,6.911069,79.879286
1013,6.911071,79.879196
1014,6.911076,79.879103
1015,6.911076,79.879012
1016,6.911077,79.878922
1017,6.911074,79.878834
1018,6.911069,79.878747
1019,6.911063,79.878663
1020,6.911059,79.878582
1021,6.911059,79.878509
1022,6.911057,79.878434
1023,6.911055,79.878356
1024,6.911054,79.878276
1025,6.911054,79.878193
1026,6.911054,79.878110
1027,6.911057,79.878026
1028,6.911060,79.877944
1029,6.911062,79.877865
1030,6.911067,79.877791
1031,6.911074,79.877719
1032,6.911077,79.877657
1033,6.911082,79.877606
1034,6.911082,79.877561
1035,6.911085,79.877519
1036,6.911088,79.877485
1037,6.911093,79.877452
1038,6.911094,79.877417
1039,6.911099,79.877378
1040,6.911106,79.877330
1041,6.911108,79.877287
1042,6.911107,79.877238
1043,6.911109,79.877187
1044,6.911112,79.877127
1045,6.911118,79.877070
1046,6.911121,79.877005
1047,6.911119,79.876933
1048,6.911116,79.876862
1049,6.911116,79.876785
1050,6.911117,79.876717
1051,6.911117,79.876643
1052,6.911116,79.876568
1053,6.911122,79.876494
1054,6.911131,79.876426
1055,6.911140,79.876355
1056,6.911143,79.876287
1057,6.911133,79.876211
1058,6.911135,79.876122
1059,6.911133,79.876036
1060,6.911139,79.875950
1061,6.911149,79.875864
1062,6.911158,79.875772
1063,6.911174,79.875676
1064,6.911186,79.875577
1065,6.911191,79.875472
1066,6.911197,79.875368
1067,6.911206,79.875265
1068,6.911217,79.875159
1069,6.911226,79.875061
1070,6.911229,79.874964
1071,6.911230,79.874875
1072,6.911233,79.874791
1073,6.911236,79.874706
1074,6.911235,79.874619
1075,6.911234,79.874536
1076,6.911239,79.874458
1077,6.911250,79.874381
1078,6.911256,79.874285
1079,6.911257,79.874182
1080,6.911269,79.874070
1081,6.911272,79.873973
1082,6.911270,79.873877
1083,6.911269,79.873788
1084,6.911276,79.873699
1085,6.911285,79.873609
1086,6.911295,79.873521
1087,6.911300,79.873434
1088,6.911312,79.873342
1089,6.911320,79.873240
1090,6.911320,79.873132
1091,6.911318,79.873026
1092,6.911317,79.872918
1093,6.911313,79.872801
1094,6.911312,79.872692
1095,6.911312,79.872594
1096,6.911314,79.872497
1097,6.911317,79.872397
1098,6.911318,79.872289
1099,6.911318,79.872176
1100,6.911316,79.872062
1101,6.911316,79.871955
1102,6.911316,79.871857
1103,6.911314,79.871756
1104,6.911320,79.871659
1105,6.911319,79.871567
1106,6.911325,79.871479
1107,6.911329,79.871406
1108,6.911337,79.871341
1109,6.911342,79.871280
1110,6.911341,79.871226
1111,6.911339,79.871177
1112,6.911337,79.871132
1113,6.911335,79.871094
1114,6.911338,79.871054
1115,6.911340,79.871015
1116,6.911339,79.870972
1117,6.911336,79.870919
1118,6.911330,79.870854
1119,6.911338,79.870783
1120,6.911348,79.870709
1121,6.911352,79.870631
1122,6.911358,79.870541
1123,6.911372,79.870457
1124,6.911378,79.870376
1125,6.911379,79.870293
1126,6.911385,79.870211
1127,6.911388,79.870124
1128,6.911389,79.870036
1129,6.911385,79.869940
1130,6.911381,79.869843
1131,6.911381,79.869746
1132,6.911391,79.869654
1133,6.911397,79.869565
1134,6.911402,79.869477
1135,6.911394,79.869375
1136,6.911388,79.869280
1137,6.911394,79.869189
1138,6.911400,79.869100
1139,6.911403,79.869009
1140,6.911408,79.868916
1141,6.911413,79.868823
1142,6.911415,79.868732
1143,6.911419,79.868648
1144,6.911416,79.868559
1145,6.911420,79.868474
1146,6.911428,79.868386
1147,6.911435,79.868291
1148,6.911430,79.868170
1149,6.911425,79.868066
1150,6.911428,79.867957
1151,6.911428,79.867852
